label;county_id;country_id
Nicolae Bălcescu;2;188
Obârșia;2;188
Odvoș;2;188
Olari;2;188
Ostrov;2;188
Păiușeni;2;188
Pătârș;2;188
Păulian;2;188
Păuliș;2;188
Pâncota;2;188
Pârnești;2;188
Pecica;2;188
Peregu Mare;2;188
Peregu Mic;2;188
Pescari;2;188
Petriș;2;188
Pilu;2;188
Pleșcuța;2;188
Poiana;2;188
Poienari;2;188
Prunișor;2;188
Rădești;2;188
Rănușa;2;188
Răpsig;2;188
Revetiș;2;188
Rogoz de Beliu;2;188
Rostoci;2;188
Roșia;2;188
Roșia Nouă;2;188
Satu Mare;2;188
Satu Mic;2;188
Satu Nou;2;188
Sălăjeni;2;188
Săvârșin;2;188
Sâmbăteni;2;188
Sânleani;2;188
Sânmartin;2;188
Sânpaul;2;188
Sânpetru German;2;188
Sântana;2;188
Sârbi;2;188
Sebiș;2;188
Secaci;2;188
Secaș;2;188
Secusigiu;2;188
Sederhat;2;188
Seleuș;2;188
Seliște;2;188
Seliștea;2;188
Semlac;2;188
Sintea Mare;2;188
Sintea Mică;2;188
Slatina de Criș;2;188
Slatina de Mureș;2;188
Socodor;2;188
Stejar;2;188
Stoinești;2;188
Susag;2;188
Susani;2;188
Șagu;2;188
Șeitin;2;188
Șepreuș;2;188
Șiad;2;188
Șiclău;2;188
Șicula;2;188
Șilindia;2;188
Șimand;2;188
Șiria;2;188
Șiștarovăț;2;188
Șofronea;2;188
Șomoșcheș;2;188
Tauț;2;188
Tăgădău;2;188
Tălagiu;2;188
Tălmaci;2;188
Târnăvița;2;188
Târnova;2;188
Temeșești;2;188
Tisa;2;188
Tisa Nouă;2;188
Toc;2;188
Troaș;2;188
Turnu;2;188
Țărmure;2;188
Țela;2;188
Țipar;2;188
Țohești;2;188
Urvișu de Beliu;2;188
Ususău;2;188
Valea Mare (Gurahonț);2;188
Valea Mare (Săvârșin);2;188
Variașu Mare;2;188
Variașu Mic;2;188
Varnița;2;188
Vasile Goldiș;2;188
Vărădia de Mureș;2;188
Vărșand;2;188
Văsoaia;2;188
Vânători;2;188
Vârfurile;2;188
Vidra;2;188
Vinga;2;188
Virișmort;2;188
Vladimirescu;2;188
Voivodeni;2;188
Zăbalț;2;188
Zăbrani;2;188
Zădăreni;2;188
Zărand;2;188
Zerind;2;188
Zerindu Mic;2;188
Zimandcuz;2;188
Zimandu Nou;2;188
Zimbru;2;188
Adunați;3;188
Afrimești;3;188
Albești;3;188
Albeștii Pământeni;3;188
Albeștii Ungureni;3;188
Albota;3;188
Albotele;3;188
Aluniș;3;188
Alunișu (Brăduleț);3;188
Alunișu (Băiculești);3;188
Anghinești;3;188
Aninoasa;3;188
Arefu;3;188
Argeșani;3;188
Argeșelu;3;188
Babaroaga;3;188
Balabani;3;188
Baloteasca;3;188
Bascov;3;188
Bascovele;3;188
Băbana;3;188
Băcești;3;188
Bădeni;3;188
Bădești (Pietroșani);3;188
Bădești (Bârla);3;188
Bădicea;3;188
Bădila;3;188
Bădislava;3;188
Bădulești;3;188
Băiculești;3;188
Băila;3;188
Băjănești;3;188
Băjești;3;188
Bălilești;3;188
Bălilești (Tigveni);3;188
Bălteni;3;188
Bălțata;3;188
Bănărești;3;188
Bănicești;3;188
Bărănești;3;188
Bărăști;3;188
Bărbălani;3;188
Bărbălătești;3;188
Bărbătești;3;188
Bătrâni;3;188
Bântău;3;188
Bârla;3;188
Bârlogu;3;188
Bârloi;3;188
Bârseștii de Jos;3;188
Bârseștii de Sus;3;188
Bârzești;3;188
Beculești;3;188
Beleți;3;188
Berevoești;3;188
Berindești;3;188
Bilcești;3;188
Blaju;3;188
Blejani;3;188
Bogați;3;188
Bolculești;3;188
Bolovănești;3;188
Bordeieni;3;188
Borlești;3;188
Borobănești;3;188
Borovinești;3;188
Boteni;3;188
Boțârcani;3;188
Boțești;3;188
Brabeți;3;188
Bradu;3;188
Braniștea;3;188
Bratia (Berevoești);3;188
Bratia (Ciomăgești);3;188
Brădetu;3;188
Brăduleț;3;188
Brăileni;3;188
Brăteasca;3;188
Brătești;3;188
Brânzari;3;188
Broșteni (Costești);3;188
Broșteni (Aninoasa);3;188
Bucov;3;188
Bucșenești;3;188
Bucșenești-Lotași;3;188
Budeasa Mare;3;188
Budeasa Mică;3;188
Budișteni;3;188
Bughea de Jos;3;188
Bughea de Sus;3;188
Bujoi;3;188
Bujoreni;3;188
Bumbueni;3;188
Bunești (Mălureni);3;188
Bunești (Cotmeana);3;188
Burdea;3;188
Burdești;3;188
Burețești;3;188
Burluși;3;188
Burnești;3;188
Buta;3;188
Buzoești;3;188
Calotești;3;188
Capu Piscului (Godeni);3;188
Capu Piscului (Merișani);3;188
Catane;3;188
Catanele;3;188
Căldăraru;3;188
Călinești;3;188
Căpățânenii Pământeni;3;188
Căpățânenii Ungureni;3;188
Cărpeniș;3;188
Căteasca;3;188
Cătunași;3;188
Câmpulung;3;188
Cândești;3;188
Cârcești;3;188
Cârciumărești;3;188
Cârstieni;3;188
Ceaurești;3;188
Ceaușești;3;188
Cepari;3;188
Ceparii Pământeni;3;188
Ceparii Ungureni;3;188
Cerbu;3;188
Cerbureni;3;188
Cerșani;3;188
Cetățeni;3;188
Chilii;3;188
Chirițești (Uda);3;188
Chirițești (Vedea);3;188
Chirițești (Suseni);3;188
Chițani;3;188
Chițești;3;188
Cicănești;3;188
Ciești;3;188
Ciobani;3;188
Ciobănești;3;188
Ciocanu;3;188
Ciocănăi;3;188
Ciocănești;3;188
Ciocești;3;188
Ciofrângeni;3;188
Ciolcești;3;188
Ciomăgești;3;188
Cireșu;3;188
Cișmea;3;188
Ciulnița;3;188
Ciupa-Mănciulescu;3;188
Ciurești;3;188
Clucereasa;3;188
Cocenești;3;188
Cochinești;3;188
Cocu;3;188
Colibași;3;188
Colnic;3;188
Colțu;3;188
Conțești;3;188
Corbeni;3;188
Corbi;3;188
Corbșori;3;188
Cornățel;3;188
Cosaci;3;188
Costești;3;188
Costești;3;188
Costești-Vâlsan;3;188
Costiță;3;188
Coșeri;3;188
Coșești;3;188
Coteasca;3;188
Cotenești;3;188
Cotești;3;188
Cotmeana;3;188
Cotmeana (Stolnici);3;188
Cotmenița;3;188
Cotu (Uda);3;188
Cotu (Cuca);3;188
Cotu Malului;3;188
Crâmpotani;3;188
Crintești;3;188
Crivățu;3;188
Crucișoara;3;188
Cuca;3;188
Cungrea;3;188
Curtea de Argeș;3;188
Curteanca;3;188
Davidești;3;188
Dâmbovicioara;3;188
Dârmănești;3;188
Deagu de Jos;3;188
Deagu de Sus;3;188
Dealu;3;188
Dealu Bisericii;3;188
Dealu Bradului;3;188
Dealu Frumos;3;188
Dealu Obejdeanului;3;188
Dealu Orașului;3;188
Dealu Pădurii;3;188
Dealu Tolcesii;3;188
Dealu Viilor;3;188
Dealu Viilor;3;188
Dedulești;3;188
Diconești;3;188
Dincani;3;188
Dinculești;3;188
Doblea;3;188
Dobrești;3;188
Dobrogostea;3;188
Dobrotu;3;188
Dogari;3;188
Domnești;3;188
Dragoslavele;3;188
Drăganu-Olteni;3;188
Drăghescu;3;188
Drăghicești;3;188
Drăghici;3;188
Drăgolești;3;188
Dumbrava;3;188
Dumbrăvești;3;188
Dumirești;3;188
Enculești;3;188
Fata;3;188
Făcălețești;3;188
Făgetu;3;188
Fâlfani;3;188
Fântânea;3;188
Fedeleșoiu;3;188
Florieni;3;188
Frătești;3;188
Frătici;3;188
Furduești;3;188
Furești;3;188
Furnicoși;3;188
Galeșu;3;188
Găinușa;3;188
Gălășești;3;188
Găleșești;3;188
Gălețeanu;3;188
Gămăcești;3;188
Gănești;3;188
Gărdinești;3;188
Găujani;3;188
Gâlcești;3;188
Geamăna;3;188
Giuclani;3;188
Glavacioc;3;188
Glâmbocata;3;188
Glâmbocata-Deal;3;188
Glâmbocel;3;188
Glâmbocelu;3;188
Glâmbocu;3;188
Gliganu de Jos;3;188
Gliganu de Sus;3;188
Glodu (Leordeni);3;188
Glodu (Călinești);3;188
Godeni;3;188
Goia;3;188
Goleasca;3;188
Golești (Ștefănești);3;188
Golești (Bălilești);3;188
Gorani;3;188
Gorănești;3;188
Gorganu;3;188
Greabăn;3;188
Greabănu;3;188
Groșani;3;188
Groși;3;188
Gruiu (Nucșoara);3;188
Gruiu (Căteasca);3;188
Gura Pravăț;3;188
Gura Văii;3;188
Hârsești;3;188
Hârtiești;3;188
Hințești;3;188
Huluba;3;188
Humele;3;188
Ianculești;3;188
Ioanicești;3;188
Ionești;3;188
Izbășești;3;188
Izvorani;3;188
Izvoru;3;188
Izvoru de Jos;3;188
Izvoru de Sus;3;188
Jgheaburi;3;188
Jugur;3;188
Jupânești;3;188
Lacurile;3;188
Lăceni;3;188
Lăicăi;3;188
Lăngești;3;188
Lăpușani;3;188
Lăunele de Sus;3;188
Lăzărești (Schitu Golești);3;188
Lăzărești (Moșoaia);3;188
Leicești;3;188
Lențea;3;188
Leordeni;3;188
Lerești;3;188
Lespezi;3;188
Leșile;3;188
Lintești;3;188
Lipia;3;188
Livezeni;3;188
Loturi;3;188
Lucieni;3;188
Luminile;3;188
Lunca;3;188
Lunca Corbului;3;188
Lunca Gârții;3;188
Lungani;3;188
Lungulești;3;188
Lupueni;3;188
Malu (Bârla);3;188
Malu (Godeni);3;188
Malu Vânăt;3;188
Mareș;3;188
Martalogi;3;188
Mavrodolu;3;188
Măcăi;3;188
Mălureni;3;188
Măncioiu;3;188
Mănești;3;188
Mănicești;3;188
Mărăcineni;3;188
